uid;date_match;joueurA;joueurB;surf;tournoi;coteA;coteB;probA_modele;probB_modele;evA_pct;evB_pct;marge;zones;psA;psB;mxA;mxB;avA;avB;clv_ps_pct;clv_avg_pct;score_confiance;injury;opp_streak;tourn_spec;elo_a;elo_b;srv_a;srv_b;ret_a;ret_b;trend_elo_a;trend_elo_b;rank_a;rank_b;forme_surf_a;forme_surf_b;forme_5A;forme_5B;clv_closing_60;clv_closing_15;anomalie;resultat
2026-05-29_thiago_agustin_tirante_pablo_carreno_busta;2026-05-29;Thiago Agustin Tirante;Pablo Carreno Busta;Clay;ATP French Open;1.43;2.93;0.9500;0.2600;35.85;-23.82;4.06;A5+C1;1.46;2.94;1.47;3.05;1.4132075471698113;2.933396226415094;-2.05;1.19;0;;;;1713.1;1739.2;74.2;67.9;36.3;35.9;;;;;;;;;;;;
2026-05-29_quentin_halys_alexander_zverev;2026-05-29;Alexander Zverev;Quentin Halys;Clay;ATP French Open;1.06;10.5;0.8800;0.4000;-6.72;320.00;3.86;aucune;1.07;10.74;1.12;15;1.0587037037037033;10.027962962962963;-0.93;0.12;0;;;;2021.3;1652;74.9;76.4;36.6;33.1;;;;;;;0V1D;;;;;
2026-05-29_alex_de_minaur_jakub_mensik;2026-05-29;Alex de Minaur;Jakub Mensik;Clay;ATP French Open;1.24;4.3;0.5800;0.6800;-28.08;192.40;3.90;aucune;1.25;4.47;1.28;4.9;1.2339999999999995;4.226181818181818;-0.80;0.49;8;;;;1859.3;1789.4;72.3;77.8;39.6;36.4;;;;;;;;;;;;
2026-05-29_alex_michelsen_rafael_jodar;2026-05-29;Rafael Jodar;Alex Michelsen;Clay;ATP French Open;1.2;4.75;0.9500;0.5100;14.00;142.25;4.39;aucune;1.23;4.79;1.24;5.4;1.2007142857142856;4.666785714285717;-2.44;-0.06;4;;;;1935.1;1630.9;69.2;71.3;39.8;35.8;;;;;;;;;;;;
2026-05-29_karen_khachanov_jesper_de_jong;2026-05-29;Karen Khachanov;Jesper De Jong;Clay;ATP French Open;1.34;3.4;0.9500;0.6100;27.30;107.40;4.04;aucune;1.36;3.48;1.4;3.7;1.3364150943396222;3.3471698113207546;-1.47;0.27;12;;;;1808.8;1646.5;75.4;73.1;35.7;34.5;;;;;;;;;;;;
2026-05-29_joao_fonseca_novak_djokovic;2026-05-29;Novak Djokovic;Joao Fonseca;Clay;ATP French Open;1.43;2.95;0.1300;0.5500;-81.41;62.25;3.83;aucune;1.44;3.02;1.51;3.1;1.4392592592592592;2.848148148148149;-0.69;-0.64;0;;;;1969.4;1808.1;75.9;73;39.8;36;;;;;;;;;;;;
2026-05-29_casper_ruud_tommy_paul;2026-05-29;Casper Ruud;Tommy Paul;Clay;ATP French Open;1.32;3.55;0.8000;0.4000;5.60;42.00;3.93;aucune;1.34;3.56;1.39;3.8;1.3349090909090906;3.3643636363636356;-1.49;-1.12;0;;;;1970.4;1856.5;73.2;74.6;36.3;37.5;;;;;;;0V1D;0V1D;;;;
2026-05-29_nuno_borges_andrey_rublev;2026-05-29;Andrey Rublev;Nuno Borges;Clay;ATP French Open;1.33;3.48;0.6200;0.2700;-17.54;-6.04;3.92;aucune;1.35;3.49;1.36;3.7;1.3292857142857137;3.3933928571428567;-1.48;0.05;0;;;;1868.1;1690.7;77;72.9;36.8;34.5;;;;;;;;;;;;
2026-05-30_moise_kouame_alejandro_tabilo;2026-05-30;Alejandro Tabilo;Moise Kouame;Clay;ATP French Open;1.15;4.95;0.5200;0.3400;-40.20;68.30;7.16;B2+B3;1.19;5.32;1.22;5.81;1.1727450980392158;5.066470588235294;-3.36;-1.94;26;;;;1793.4;1324.3;73.5;72.9;34.3;34.5;;;;;;;0V1D;0V1D;;;;
2026-05-30_matteo_arnaldi_raphael_collignon;2026-05-30;Raphael Collignon;Matteo Arnaldi;Clay;ATP French Open;1.61;2.32;0.4700;0.5300;-24.33;22.96;5.22;B4;;;1.65;2.62;1.5908888888888886;2.3411111111111103;;1.20;0;;;;1814.1;1756.4;75;71.1;34.9;33.3;;;;;;;0V1D;0V1D;;;;
2026-05-30_flavio_cobolli_learner_tien;2026-05-30;Flavio Cobolli;Learner Tien;Clay;ATP French Open;1.43;2.75;0.7600;0.9500;8.68;161.25;6.29;aucune;1.47;2.86;1.51;2.92;1.465925925925926;2.6944444444444455;-2.72;-2.45;11;;;;1847.5;1685.1;71.8;71.5;36.4;37.2;;;;;;;0V1D;0V1D;;;;
2026-05-30_francisco_cerundolo_zachary_svajda;2026-05-30;Francisco Cerundolo;Zachary Svajda;Clay;ATP French Open;1.07;8;0.9000;0.3200;-3.70;156.00;5.96;aucune;1.09;8.39;1.13;11;1.0762962962962968;8.308888888888887;-1.83;-0.58;25;;;;1872.1;1532.9;68.6;72.8;40.1;32.1;;;;;;;0V2D;0V1D;;;;
